Query Strategy,actual_accuracy - estimated_accuracy,budget
ClassifierUncertainty,0.032194620722198475,800
ClassifierUncertainty,0.04701046072219839,800
ClassifierUncertainty,0.031103100722198573,800
ClassifierUncertainty,0.025482240722198513,800
ClassifierUncertainty,0.028126670722198432,800
ClassifierUncertainty,0.021608480722198453,800
ClassifierUncertainty,0.03752418072219854,800
ClassifierUncertainty,0.055917120722198566,900
ClassifierUncertainty,0.061076760722198586,900
ClassifierUncertainty,0.02776273072219848,900
ClassifierUncertainty,0.033681920722198444,900
ClassifierUncertainty,0.047022250722198455,900
ClassifierUncertainty,0.04007838072219849,900
ClassifierUncertainty,0.049534200722198496,900
ClassifierUncertainty,0.04962436072219856,900
ClassifierUncertainty,0.03239942072219848,900
ClassifierUncertainty,0.0345836507221986,900
ClassifierUncertainty,0.03577693072219845,1000
ClassifierUncertainty,0.04129145072219853,1000
ClassifierUncertainty,0.03105956072219851,1000
ClassifierUncertainty,0.028998810722198454,1000
ClassifierUncertainty,0.029707300722198515,1000
ClassifierUncertainty,0.0341767507221985,1000
ClassifierUncertainty,0.02596914072219847,1000
ClassifierUncertainty,0.0495382007221985,1000
ClassifierUncertainty,0.03674392072219845,1000
ClassifierUncertainty,0.0462813907221985,1000
MCM,0.07275241072219851,100
MCM,0.07835855072219855,100
MCM,0.039968080722198485,100
MCM,0.07221846072219829,100
MCM,0.024977540722198488,100
MCM,0.09485022072219851,100
MCM,0.09452256072219845,100
MCM,0.04154914072219851,100
MCM,0.09227220072219855,100
MCM,0.026289700722198495,100
MCM,0.04658952072219846,200
MCM,0.06015938072219851,200
MCM,0.03916776072219852,200
MCM,0.04523521072219849,200
MCM,0.0628059907221985,200
MCM,0.034165340722198456,200
MCM,0.04576915072219856,200
MCM,0.0493779007221985,200
MCM,0.042892380722198475,200
MCM,0.03226423072219842,200
MCM,0.039863000722198505,300
MCM,0.02802168072219846,300
MCM,0.04580083072219854,300
MCM,0.04275220072219843,300
MCM,0.03160959072219849,300
MCM,0.015236660722198425,300
MCM,0.03603413072219841,300
MCM,-0.00014077927780153932,300
MCM,0.016596140722198505,300
MCM,0.008784570722198626,300
MCM,0.02868561072219833,400
MCM,0.041067610722198555,400
MCM,0.020489430722198554,400
MCM,0.03166115072219855,400
MCM,0.03165986072219851,400
MCM,0.03694689072219848,400
MCM,0.02481931072219845,400
MCM,0.027790100722198563,400
MCM,0.014776900722198505,400
MCM,0.03629223072219856,400
MCM,0.027592830722198536,500
MCM,0.03320131072219856,500
MCM,0.029426090722198484,500
MCM,0.025306400722198474,500
MCM,0.02670276072219846,500
MCM,0.026239420722198536,500
MCM,0.01721882072219849,500
MCM,0.0377790407221984,500
MCM,0.02737082072219854,500
MCM,0.021738110722198556,500
MCM,0.018250390722198473,600
MCM,0.019489270722198526,600
MCM,0.025041340722198546,600
MCM,0.030651220722198502,600
MCM,0.020687860722198526,600
MCM,0.032680890722198486,600
MCM,0.010282420722198538,600
MCM,0.013648080722198475,600
MCM,0.021030880722198497,600
MCM,0.013709140722198532,600
MCM,0.026043750722198555,700
MCM,0.03029153072219848,700
MCM,0.013290300722198611,700
MCM,0.027270190722198495,700
MCM,0.02074341072219843,700
MCM,0.015983710722198397,700
MCM,0.025309210722198494,700
MCM,0.02585294072219846,700
MCM,0.013537920722198615,700
MCM,0.01152362072219848,700
MCM,0.021540030722198455,800
MCM,0.018703950722198548,800
MCM,0.02460791072219848,800
MCM,0.01711669072219857,800
MCM,0.02553863072219853,800
MCM,0.025896970722198542,800
MCM,0.022428920722198487,800
MCM,0.024044650722198413,800
MCM,0.029628610722198467,800
MCM,0.02941835072219856,800
MCM,0.020346010722198438,900
MCM,0.015625910722198544,900
MCM,0.01585672072219846,900
MCM,0.02888782072219842,900
MCM,0.02412859072219853,900
MCM,0.02519224072219839,900
MCM,0.01722964072219857,900
MCM,0.013698150722198488,900
MCM,0.024121200722198477,900
MCM,0.0255445907221985,900
MCM,0.034336920722198516,1000
MCM,0.027193850722198487,1000
MCM,0.01446564072219847,1000
MCM,0.02383561072219842,1000
MCM,0.015343080722198477,1000
MCM,0.023379810722198524,1000
MCM,0.03142413072219852,1000
MCM,0.010542680722198439,1000
MCM,0.021624730722198504,1000
MCM,0.02457532072219848,1000
Prototypical,0.042109470722198505,100
Prototypical,0.08091558072219851,100
Prototypical,0.02365006072219844,100
Prototypical,0.039826720722198505,100
Prototypical,0.022158510722198432,100
Prototypical,0.06858457072219848,100
Prototypical,0.030028500722198537,100
Prototypical,0.06885392072219854,100
Prototypical,0.06385729072219848,100
Prototypical,0.03487620072219855,100
Prototypical,0.07674558072219839,200
Prototypical,0.06625620072219851,200
Prototypical,0.060813190722198485,200
Prototypical,0.034130620722198524,200
Prototypical,0.029358040722198497,200
Prototypical,0.02396480072219853,200
Prototypical,0.08205441072219843,200
Prototypical,0.021658050722198507,200
Prototypical,0.06318653072219849,200
Prototypical,0.06563793072219837,200
Prototypical,0.040996960722198494,300
Prototypical,0.055938100722198514,300
Prototypical,0.009655270722198517,300
Prototypical,0.05802840072219839,300
Prototypical,0.06768223072219848,300
Prototypical,0.05650271072219837,300
Prototypical,0.008950480722198395,300
Prototypical,0.03657204072219844,300
Prototypical,0.07208685072219856,300
Prototypical,0.01118520072219853,300
Prototypical,0.046536400722198557,400
Prototypical,0.044271810722198435,400
Prototypical,0.016704030722198393,400
Prototypical,0.020163450722198495,400
Prototypical,0.06483115072219847,400
Prototypical,0.03632946072219834,400
Prototypical,0.06138338072219851,400
Prototypical,0.0538518607221985,400
Prototypical,0.060327870722198584,400
Prototypical,0.00782707072219846,400
Prototypical,0.014018560722198425,500
Prototypical,0.0608833207221986,500
Prototypical,0.07104958072219847,500
Prototypical,0.05404878072219854,500
Prototypical,0.02589430072219856,500
Prototypical,0.05361189072219852,500
Prototypical,0.0192561407221985,500
Prototypical,0.012993550722198544,500
Prototypical,0.010958370722198518,500
Prototypical,0.030313990722198425,500
Prototypical,0.013507370722198542,600
Prototypical,0.07242817072219854,600
Prototypical,0.027456990722198538,600
Prototypical,0.021575860722198414,600
Prototypical,0.03450169072219855,600
Prototypical,0.05735688072219858,600
Prototypical,0.02283325072219855,600
Prototypical,0.020589630722198438,600
Prototypical,0.07355591072219847,600
Prototypical,0.026397400722198427,600
Prototypical,0.06439507072219852,700
Prototypical,0.050334320722198456,700
Prototypical,0.06576015072219854,700
Prototypical,0.051453940722198555,700
